"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2023","25.209","25.170","25.350","24.980","44.91K","0.95%"
"04/26/2023","24.972","25.135","25.410","24.745","70.92K","-0.02%"
"04/25/2023","24.978","25.330","25.325","24.815","64.25K","-1.70%"
"04/24/2023","25.411","25.280","25.435","24.530","73.90K","-0.26%"
"04/20/2023","25.478","25.475","25.475","24.985","61.58K","0.03%"
"04/19/2023","25.471","25.150","25.585","25.155","64.38K","0.41%"
"04/18/2023","25.368","25.210","25.460","24.715","74.68K","0.68%"
"04/17/2023","25.197","25.470","25.430","25.030","48.69K","-3.22%"
"04/13/2023","26.035","25.715","26.235","25.265","94.54K","1.85%"
"04/12/2023","25.563","25.515","26.115","25.515","75.42K","1.06%"
"04/11/2023","25.296","25.195","25.825","25.175","89.02K","1.10%"
"04/10/2023","25.020","25.100","25.275","24.970","54.83K","-0.49%"
"04/05/2023","25.143","25.235","25.175","24.695","49.82K","-0.23%"
"04/04/2023","25.201","24.105","25.295","24.785","66.17K","4.49%"
"04/03/2023","24.118","24.050","25.195","23.970","80.73K","0.17%"
"03/30/2023","24.076","23.630","24.310","23.830","59.67K","2.60%"
"03/29/2023","23.466","23.470","24.100","23.370","67.10K","0.20%"
"03/28/2023","23.420","23.210","23.555","23.205","42.58K","1.19%"
"03/27/2023","23.145","23.485","23.515","22.960","42.18K","-0.48%"
"03/23/2023","23.256","23.100","23.705","23.125","65.53K","2.06%"
"03/22/2023","22.786","22.510","23.360","22.900","60.54K","1.61%"
"03/21/2023","22.425","22.665","23.240","22.410","56.69K","-0.98%"
"03/20/2023","22.646","22.710","22.785","22.290","45.06K","4.40%"
"03/16/2023","21.692","21.925","22.765","21.785","68.62K","-0.87%"
"03/15/2023","21.882","21.795","22.210","21.590","56.94K","-0.72%"
"03/14/2023","22.040","21.920","22.525","21.605","89.43K","0.53%"
"03/13/2023","21.923","20.720","22.090","21.465","75.57K","8.72%"
"03/09/2023","20.165","20.125","20.875","19.945","73.69K","0.07%"
"03/08/2023","20.151","20.165","20.355","20.025","47.40K","-0.24%"
"03/07/2023","20.199","21.140","20.290","19.955","60.89K","-4.43%"
"03/06/2023","21.135","21.385","21.215","20.105","69.32K","1.12%"
"03/02/2023","20.901","21.085","21.385","20.910","53.40K","-0.92%"
"03/01/2023","21.095","21.030","21.100","20.760","45.16K","0.11%"
"02/28/2023","21.071","20.740","21.285","20.945","57.92K","1.34%"
"02/27/2023","20.793","20.915","21.125","20.505","61.59K","-2.73%"
"02/23/2023","21.376","21.610","21.395","20.725","53.88K","-1.71%"
"02/22/2023","21.748","21.970","21.670","21.260","52.99K","-1.01%"
"02/21/2023","21.970","21.770","22.000","21.435","50.98K","1.72%"
"02/19/2023","21.598","21.753","21.995","21.555","86.91K","-0.97%"
"02/16/2023","21.810","21.840","21.800","21.155","67.93K","0.70%"
"02/15/2023","21.659","21.800","21.790","21.400","56.29K","-1.38%"
"02/14/2023","21.961","21.845","21.875","21.385","55.51K","0.09%"
"02/13/2023","21.942","22.020","22.040","21.585","73.82K","-1.34%"
"02/09/2023","22.241","22.545","22.310","21.830","68.26K","-1.24%"
"02/08/2023","22.520","22.420","22.615","21.915","67.99K","1.09%"
"02/07/2023","22.277","22.415","22.560","22.205","56.97K","-0.27%"
"02/06/2023","22.337","22.655","22.485","22.065","72.08K","-5.81%"
"02/02/2023","23.715","24.450","23.665","22.325","111.87K","0.05%"
"02/01/2023","23.703","24.010","24.750","23.495","110.84K","-0.95%"
"01/31/2023","23.930","23.860","24.150","23.440","65.33K","0.46%"
"01/30/2023","23.821","23.905","23.865","23.050","66.63K","-0.83%"
"01/26/2023","24.020","24.055","24.120","23.390","65.13K","0.33%"
"01/25/2023","23.941","23.765","24.415","23.690","85.57K","0.81%"
"01/24/2023","23.749","23.565","24.065","23.440","56.58K","0.83%"
"01/23/2023","23.554","24.055","23.855","23.310","51.75K","-1.32%"
"01/19/2023","23.870","23.595","24.225","23.830","56.90K","0.94%"
"01/18/2023","23.647","24.090","24.075","23.270","66.63K","-1.75%"
"01/17/2023","24.068","24.450","24.500","23.550","82.10K","-1.42%"
"01/15/2023","24.415","24.422","24.670","23.975","86.02K","1.71%"
"01/12/2023","24.004","23.530","24.445","23.620","59.83K","2.23%"
"01/11/2023","23.481","23.720","24.330","23.500","73.11K","-0.78%"
"01/10/2023","23.665","23.775","24.190","23.340","57.03K","-0.86%"
"01/09/2023","23.871","24.025","23.905","23.550","42.92K","1.91%"
"01/05/2023","23.424","23.940","24.055","23.345","55.42K","-2.25%"
"01/04/2023","23.964","24.175","24.060","23.260","60.08K","-1.12%"
"01/03/2023","24.236","24.305","24.640","23.745","62.31K","-0.38%"
"01/02/2023","24.328","24.177","24.775","24.095","69.96K","0.32%"
"12/29/2022","24.250","23.725","24.360","23.705","40.89K","2.08%"
"12/28/2022","23.756","24.115","24.280","23.690","36.90K","-1.60%"
"12/27/2022","24.142","23.935","24.275","23.645","34.29K","0.36%"
"12/26/2022","24.055","24.008","24.495","23.975","45.23K","2.10%"
"12/22/2022","23.561","24.085","24.095","23.685","31.56K","-2.32%"
"12/21/2022","24.121","24.305","24.315","23.550","46.20K","-0.26%"
"12/20/2022","24.183","23.095","24.525","24.055","36.77K","4.61%"
"12/19/2022","23.117","23.305","24.490","23.050","72.52K","-0.48%"
"12/15/2022","23.229","24.075","23.445","22.735","51.26K","-3.41%"
"12/14/2022","24.049","23.865","24.180","23.155","61.90K","0.59%"
"12/13/2022","23.909","23.565","24.275","23.605","51.52K","2.55%"
"12/12/2022","23.314","23.435","24.390","23.490","74.31K","0.68%"
"12/08/2022","23.157","22.715","23.900","23.140","53.44K","1.40%"
"12/07/2022","22.837","22.400","23.425","22.725","44.88K","2.61%"
"12/06/2022","22.256","22.435","23.010","22.255","51.54K","-0.30%"
"12/05/2022","22.324","23.310","22.780","22.190","49.86K","-2.03%"
"12/01/2022","22.786","22.680","23.475","22.480","74.94K","4.87%"
"11/30/2022","21.727","21.755","23.005","22.240","73.64K","1.57%"
"11/29/2022","21.392","21.130","22.410","21.355","63.51K","1.86%"
"11/28/2022","21.002","21.520","21.635","21.060","46.73K","-2.02%"
"11/23/2022","21.436","21.170","21.730","21.175","53.89K","1.45%"
"11/22/2022","21.130","20.975","21.630","20.925","50.25K","0.85%"
"11/21/2022","20.952","21.110","21.370","20.860","56.89K","-0.48%"
"11/17/2022","21.054","21.605","21.325","20.870","45.48K","-2.55%"
"11/16/2022","21.604","21.725","21.535","20.785","68.30K","0.05%"
"11/15/2022","21.593","22.090","22.155","21.455","71.72K","-2.64%"
"11/14/2022","22.178","21.735","22.380","21.450","94.52K","1.86%"
"11/10/2022","21.772","21.280","22.160","21.355","77.86K","1.83%"
"11/09/2022","21.381","21.495","21.940","21.045","92.92K","-0.86%"
"11/08/2022","21.567","20.900","21.695","21.055","80.56K","2.79%"
"11/07/2022","20.981","20.650","21.720","20.570","95.95K","7.68%"
"11/03/2022","19.485","19.455","20.965","19.425","112.10K","-0.86%"
"11/02/2022","19.654","19.675","19.555","18.805","71.23K","-0.38%"
"11/01/2022","19.728","19.160","20.110","19.200","63.23K","2.84%"
"10/31/2022","19.184","19.010","20.040","19.085","79.39K","-1.59%"
"10/27/2022","19.494","19.555","19.620","18.950","51.84K","0.04%"
"10/26/2022","19.486","19.325","19.660","19.255","58.01K","0.71%"
"10/25/2022","19.349","19.195","19.765","19.180","55.63K","0.83%"
"10/24/2022","19.189","19.395","19.410","18.740","54.44K","2.68%"
"10/20/2022","18.689","18.405","19.405","18.205","85.07K","1.80%"
"10/19/2022","18.359","18.685","18.960","18.150","57.78K","-1.30%"
"10/18/2022","18.600","18.625","18.755","18.305","36.44K","-0.64%"
"10/17/2022","18.719","18.160","18.865","18.490","39.82K","-1.05%"
"10/13/2022","18.918","19.010","19.055","18.010","69.61K","-0.11%"
"10/12/2022","18.938","19.175","19.290","18.410","73.30K","-2.82%"
"10/11/2022","19.487","19.630","19.310","18.840","57.22K","-0.65%"
"10/10/2022","19.615","20.185","19.725","19.050","60.40K","-5.06%"
"10/06/2022","20.660","20.750","20.875","20.020","60.63K","0.56%"
"10/05/2022","20.544","21.120","20.930","20.400","49.26K","-2.63%"
"10/04/2022","21.099","20.745","21.135","19.985","80.04K","2.48%"
"10/03/2022","20.589","18.995","21.310","20.680","73.44K","10.03%"
"09/29/2022","18.712","18.910","19.300","18.745","53.86K","-0.68%"
"09/28/2022","18.841","18.360","18.915","18.465","59.25K","2.95%"
"09/27/2022","18.302","18.380","18.965","17.895","83.80K","-0.82%"
"09/26/2022","18.453","18.525","18.785","18.295","63.09K","-5.79%"
