,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2016-04-13,13808.3876953125,14019.5830078125,22632.408203125,33306.640625,86157.875,9636.87890625,10418.6162109375,60896.66796875,12287.2900390625,7886.5693359375,4718.28173828125,6154.83544921875,3244.284912109375,2429.861083984375,4742.07373046875,6190.626953125,5638.615234375,30610.8359375,18830.873046875,13396.9609375,18190.49609375,26568.48828125,17871.900390625,17835.095703125,89.23281860351562,12933.94921875,16845.47265625,6692.32568359375,45776.82421875,16460.013671875,8872.4375
2016-04-14,13662.3583984375,13762.1123046875,22023.966796875,33355.578125,85840.4140625,9857.2490234375,10466.517578125,60885.68359375,12578.9873046875,7703.85107421875,4632.72998046875,5895.51611328125,3259.281982421875,2440.76123046875,4662.3076171875,6224.96826171875,5681.90869140625,30677.650390625,18660.494140625,13576.251953125,18151.73828125,26681.544921875,17871.900390625,18097.501953125,88.88878631591797,12820.640625,17162.638671875,6666.45654296875,45649.10546875,16432.173828125,8842.5478515625
2016-04-15,13908.7216796875,13558.27734375,21830.142578125,33080.9375,87331.25,9767.5869140625,10515.4169921875,59896.5390625,12621.94140625,7579.40478515625,4639.69384765625,5846.64453125,3199.294677734375,2428.869384765625,4616.443359375,6223.82421875,5677.15576171875,30192.39453125,18683.40625,14202.771484375,18021.56640625,26882.5390625,17999.9609375,18284.12890625,88.6194839477539,12769.9541015625,16873.396484375,6713.2216796875,44748.12109375,16465.978515625,8817.6376953125
2016-04-18,14493.8369140625,13873.2939453125,21838.138671875,32970.078125,87835.8359375,9985.5263671875,10478.4921875,60792.76171875,12663.8984375,7643.60205078125,4703.3603515625,5888.5341796875,3227.28857421875,2446.70654296875,4643.36328125,6238.70458984375,5746.318359375,29911.359375,18681.421875,14019.49609375,18085.1640625,26731.794921875,17919.68359375,18374.634765625,88.64949035644531,12682.1767578125,16825.521484375,6741.0810546875,44696.23828125,16642.9453125,8752.876953125
2016-04-19,14205.75,14738.361328125,21505.4375,32957.09765625,87778.0859375,10059.794921875,10668.1015625,62053.54296875,12835.720703125,7605.08251953125,4709.3291015625,5940.3994140625,3465.23583984375,2476.436279296875,4825.82763671875,6207.796875,5726.25634765625,29943.138671875,19383.837890625,14343.216796875,18279.927734375,26232.205078125,17489.607421875,18409.716796875,88.46990966796875,12834.2890625,16875.388671875,6765.95654296875,44675.28515625,16503.759765625,8900.333984375
2016-04-20,14901.1376953125,15945.75390625,22249.76171875,32814.28515625,86923.1875,10050.611328125,10720.9951171875,61391.70703125,13049.4990234375,7842.125,4792.89208984375,6233.62939453125,3488.2314453125,2477.4267578125,5630.46533203125,6349.16943359375,5812.3134765625,29771.119140625,19662.822265625,14741.63671875,18707.208984375,25411.283203125,17489.607421875,18635.63671875,90.5792465209961,13002.3115234375,16905.31640625,6985.85009765625,45713.97265625,16701.6015625,9184.2919921875
2016-04-22,14377.6103515625,14688.623046875,21852.126953125,31958.400390625,85259.171875,9708.7138671875,10318.818359375,59495.05078125,12762.796875,8896.9609375,4716.29248046875,6035.14990234375,3341.26416015625,2471.48095703125,5653.39794921875,6368.05859375,5853.49560546875,29144.404296875,17950.10546875,14679.8837890625,18216.33203125,24974.12890625,16690.6328125,18254.66015625,88.75413513183594,12847.2138671875,16831.51171875,6934.109375,46119.0625,16541.53515625,8728.9658203125
2016-04-26,14386.55078125,13687.013671875,20716.154296875,32657.48828125,86450.484375,9690.6171875,10717.0029296875,60666.98828125,12850.705078125,8455.4697265625,4745.14111328125,5754.88525390625,3190.297119140625,2484.363525390625,5443.01513671875,6416.70849609375,5939.552734375,29752.49609375,18202.181640625,14346.203125,18432.95703125,25500.724609375,17107.32421875,18347.26953125,89.33755493164062,12866.1025390625,16854.4453125,7014.70458984375,45855.6484375,16737.390625,9037.8310546875
2016-04-27,14386.55078125,13687.013671875,20716.154296875,32657.48828125,86450.484375,9690.6171875,10717.0029296875,60666.98828125,12850.705078125,8455.4697265625,4745.14111328125,5754.88525390625,3190.297119140625,2484.363525390625,5443.01513671875,6416.70849609375,5939.552734375,29752.49609375,18202.181640625,14346.203125,18432.95703125,25500.724609375,17107.32421875,18347.26953125,89.33755493164062,12866.1025390625,16854.4453125,7014.70458984375,45855.6484375,16737.390625,9037.8310546875
2016-04-28,14867.3623046875,14920.73828125,21989.998046875,33032.00390625,85996.6484375,9654.97265625,10378.697265625,60774.796875,12886.6669921875,8889.056640625,4703.3603515625,6047.1181640625,3184.298095703125,2483.372802734375,5683.31005859375,6366.34130859375,5860.35888671875,30160.078125,17622.30859375,14904.9912109375,18383.26953125,25148.9921875,17107.32421875,18202.740234375,89.39740753173828,12962.5419921875,17039.958984375,6895.3046875,47030.02734375,16726.45703125,9008.9375
