,AUDUSD,BRLUSD,Bitcoin,Oil,EURUSD,GBPUSD,Gold,JPYUSD,ZARUSD,ASX50,Ibovespa,FTSE100,SP500,JSE40,NIKKEI225,EUROSTOXX50,VIX,US_10Y,DE_10Y,UK_10Y,JP_10Y,AU_10Y,ZA_10Y
2016-10-07,0.7578054070472717,0.30986613035202026,617.1209716796875,49.810001373291016,1.1144545078277588,1.2402331829071045,1248.9000244140625,0.009637161158025265,0.07202856987714767,5548.5,61109.0,7044.39990234375,2153.739990234375,45112.109375,16860.08984375,3000.570068359375,13.479999542236328,1.73,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-11,0.7599939703941345,0.3122365474700928,641.072021484375,50.790000915527344,1.1140819787979126,1.2341108322143555,1253.0,0.009643481113016605,0.07258632034063339,5562.2001953125,61022.0,7070.89990234375,2136.72998046875,45395.71875,17024.759765625,3020.68994140625,15.359999656677246,1.77,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-13,0.7558007836341858,0.312431663274765,636.7860107421875,50.439998626708984,1.1011881828308105,1.2187690734863281,1255.0,0.009587359614670277,0.0702819675207138,5518.2998046875,61119.0,6977.7001953125,2132.550048828125,44005.78125,16774.240234375,2975.0400390625,16.690000534057617,1.75,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-14,0.7563723921775818,0.3147326409816742,640.3779907226562,50.349998474121094,1.1049723625183105,1.222195029258728,1253.0999755859375,0.009641156531870365,0.07017642259597778,5518.5,61767.0,7013.60009765625,2132.97998046875,44658.609375,16856.369140625,3025.18994140625,16.1200008392334,1.8,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-17,0.7596474885940552,0.312304824590683,639.1929931640625,49.939998626708984,1.0967799425125122,1.2183235883712769,1254.4000244140625,0.009611779823899269,0.0699545294046402,5470.89990234375,62696.0,6947.60009765625,2126.5,44253.1484375,16900.119140625,3008.719970703125,16.209999084472656,1.77,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-18,0.7640587091445923,0.31209036707878113,637.9600219726562,50.290000915527344,1.1015641689300537,1.2218962907791138,1260.800048828125,0.009629180654883385,0.07078142464160919,5492.0,63782.0,7000.10009765625,2139.60009765625,44543.12109375,16963.609375,3046.989990234375,15.279999732971191,1.75,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-19,0.7674597501754761,0.3142973780632019,630.52001953125,51.599998474121094,1.0976948738098145,1.230466365814209,1267.9000244140625,0.00962788239121437,0.07211573421955109,5518.39990234375,63506.0,7021.89990234375,2144.2900390625,44939.76171875,16998.91015625,3055.93994140625,14.40999984741211,1.76,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-20,0.7726184129714966,0.3158459961414337,630.8569946289062,50.43000030517578,1.0975141525268555,1.2289540767669678,1265.5999755859375,0.009672021493315697,0.07236727327108383,5526.2001953125,63838.0,7026.89990234375,2141.340087890625,44865.9609375,17235.5,3076.6298828125,13.75,1.76,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-21,0.7633005380630493,0.3185626268386841,632.8280029296875,50.849998474121094,1.0930395126342773,1.2256402969360352,1265.9000244140625,0.009605317376554012,0.07177308201789856,5513.89990234375,64108.0,7020.5,2141.159912109375,45069.01953125,17184.58984375,3077.64990234375,13.34000015258789,1.74,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-24,0.7602249979972839,0.317571222782135,653.760986328125,50.52000045776367,1.0882576704025269,1.2219113111495972,1262.0,0.009623064659535885,0.07178400456905365,5489.10009765625,64060.0,6986.39990234375,2151.330078125,45134.28125,17234.419921875,3093.860107421875,13.020000457763672,1.77,-0.084090909,0.8243,-0.085,2.004,8.675
