,ABI.BR,AD.AS,ADS.DE,AI.PA,AIR.PA,ALV.DE,ARGX.BR,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DBK.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,MBG.DE,MC.PA,MUV2.DE,NDA-FI.HE,OR.PA,RHM.DE,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TTE.PA,UCG.MI,VOW.DE,WKL.AS
2020-09-15,44.303016662597656,21.425657272338867,261.7069091796875,106.5467529296875,63.74338912963867,137.00547790527344,198.8000030517578,296.34033203125,38.5312614440918,50.26776123046875,1.7486114501953125,45.496891021728516,47.10055923461914,25.330848693847656,12.057625770568848,134.12677001953125,6.9138994216918945,62.574642181396484,33.65352249145508,12.500176429748535,97.07091522216797,5.479154586791992,5.300746917724609,8.49458122253418,23.18851661682129,4.796167373657227,1.1770776510238647,19.170011520385742,25.59979820251465,380.7959899902344,192.9149169921875,4.215026378631592,258.3143615722656,75.2715072631836,714.3988037109375,93.17979431152344,1.4222911596298218,68.96793365478516,122.52684783935547,31.727672576904297,90.2313232421875,96.68826293945312,22.720661163330078,6.030001163482666,105.92742156982422,66.26390838623047
2020-09-16,44.65843963623047,21.219802856445312,265.36517333984375,106.39583587646484,64.94523620605469,136.25601196289062,199.5,296.34033203125,38.63652420043945,49.949275970458984,1.7602059841156006,45.77275466918945,47.52591323852539,25.24248504638672,11.99039077758789,132.1228790283203,7.051962375640869,62.60701370239258,34.27996063232422,12.483780860900879,97.6836166381836,5.440371036529541,5.327905178070068,8.458772659301758,23.231281280517578,4.757558822631836,1.1713547706604004,20.71934700012207,25.761192321777344,382.72686767578125,192.9149169921875,4.305112838745117,256.1268005371094,75.7494125366211,722.012939453125,93.6988525390625,1.4249870777130127,68.58710479736328,123.14274597167969,31.83226776123047,91.60525512695312,95.97206115722656,22.632774353027344,6.007246971130371,105.99474334716797,67.3860855102539
2020-09-17,45.24464797973633,20.915130615234375,262.1758728027344,105.79216766357422,65.24799346923828,134.42726135253906,203.60000610351562,291.1705322265625,38.699676513671875,50.17929458618164,1.7522345781326294,45.84349060058594,47.19871520996094,25.041027069091797,11.801289558410645,131.4994354248047,6.975759029388428,62.315670013427734,34.41046905517578,12.450994491577148,97.94621276855469,5.30032205581665,5.288212299346924,8.387154579162598,22.889156341552734,4.5997419357299805,1.16017484664917,20.438379287719727,25.822406768798828,377.2035827636719,189.4432373046875,4.248015880584717,255.21530151367188,75.05093383789062,720.2997436523438,94.19867706298828,1.3970768451690674,68.41612243652344,122.74421691894531,31.814836502075195,91.88311767578125,95.74822235107422,22.1722412109375,5.922295570373535,105.05196380615234,67.07334899902344
2020-09-18,44.91230773925781,21.120988845825195,262.2696838378906,105.45260620117188,62.9360466003418,133.7527313232422,206.60000610351562,292.59344482421875,38.026023864746094,50.62163543701172,1.6746960878372192,45.08662796020508,46.90423583984375,24.45432472229004,11.665416717529297,131.81114196777344,6.8780388832092285,61.42544174194336,34.27125930786133,12.246072769165039,98.07750701904297,5.3290510177612305,5.1447601318359375,8.315536499023438,22.72760009765625,4.4710493087768555,1.1411423683166504,19.948698043823242,25.310409545898438,371.6802673339844,189.83775329589844,4.172521114349365,252.1162567138672,74.07671356201172,708.1171875,91.50728607177734,1.3442702293395996,68.73477935791016,122.72610473632812,31.61435890197754,90.80250549316406,94.494873046875,21.87342643737793,5.737224578857422,101.6849365234375,67.03656005859375
2020-09-23,42.165870666503906,21.2445011138916,266.2093811035156,103.30205535888672,56.688316345214844,122.21070098876953,210.1999969482422,295.9609375,35.28231430053711,48.622249603271484,1.571793556213379,43.12018585205078,44.891944885253906,22.234739303588867,11.047687530517578,132.61270141601562,6.236135959625244,58.269195556640625,33.531715393066406,11.795248031616211,93.61347198486328,5.357778072357178,4.904087066650391,8.220047950744629,22.285688400268555,3.977276086807251,1.0728654861450195,19.459007263183594,24.648155212402344,359.3312683105469,173.89959716796875,4.0158209800720215,252.9366455078125,69.00347137451172,696.505615234375,82.4719009399414,1.2191518545150757,67.66223907470703,119.55606079101562,31.039081573486328,86.71160125732422,92.2567138671875,20.88205337524414,5.1160197257995605,97.5097885131836,67.16533660888672
2020-09-25,41.598121643066406,21.03864288330078,261.23785400390625,101.45332336425781,55.064453125,121.4012451171875,209.60000610351562,291.40765380859375,34.75602722167969,47.304073333740234,1.660927414894104,41.776214599609375,44.63018798828125,21.382953643798828,10.904810905456543,130.9205322265625,6.072971343994141,57.47608184814453,33.20979690551758,11.63131046295166,94.83889770507812,5.268002986907959,4.734907150268555,8.263813972473145,21.829517364501953,3.994209051132202,1.0507720708847046,18.800739288330078,24.589717864990234,359.4211730957031,169.48109436035156,3.9676058292388916,246.73855590820312,66.63229370117188,695.744384765625,81.9144058227539,1.2286664247512817,67.31251525878906,117.70838165283203,30.455081939697266,86.20217895507812,92.0776596069336,20.188024520874023,5.112227916717529,97.03840637207031,67.31251525878906
2020-09-28,43.1998176574707,21.236268997192383,266.1155700683594,103.5284194946289,57.16537857055664,125.04373931884766,217.60000610351562,298.6169738769531,36.362953186035156,47.958736419677734,1.727596402168274,43.66484832763672,45.529991149902344,22.492748260498047,11.274608612060547,135.4626922607422,6.519434452056885,58.609092712402344,34.132049560546875,11.754263877868652,98.90904998779297,5.3491597175598145,4.855951309204102,8.339407920837402,22.718093872070312,4.177765369415283,1.0811173915863037,19.258316040039062,25.53023338317871,364.540283203125,175.47763061523438,4.098294734954834,253.93927001953125,69.9041519165039,698.028564453125,82.37578582763672,1.3123960494995117,67.86431884765625,121.96530151367188,31.379018783569336,94.15237426757812,95.5244140625,20.720428466796875,5.3905930519104,101.34822082519531,67.51487731933594
2020-09-29,42.742855072021484,21.022174835205078,263.7705383300781,103.75479888916016,57.42225646972656,123.57476043701172,222.39999389648438,301.8896484375,36.727848052978516,47.33945846557617,1.6891891956329346,43.855831146240234,45.0555534362793,21.909576416015625,11.032279968261719,134.66111755371094,6.34192419052124,58.62527847290039,34.34956359863281,11.700983047485352,101.00977325439453,5.386505603790283,4.7179179191589355,8.379197120666504,22.984193801879883,4.093776702880859,1.0692720413208008,19.21817970275879,25.427274703979492,368.1776428222656,172.08485412597656,4.070380687713623,256.58258056640625,70.34530639648438,702.406494140625,81.99129486083984,1.2624435424804688,66.97831726074219,121.5124282836914,31.300573348999023,93.02212524414062,97.49400329589844,20.382287979125977,5.326879501342773,101.21355438232422,67.40448760986328
2020-09-30,42.67361068725586,20.7916202545166,258.98663330078125,102.24565124511719,56.945194244384766,122.63040161132812,225.0,298.5221252441406,36.4752311706543,47.16252136230469,1.7189000844955444,43.848758697509766,45.17007064819336,21.89544105529785,11.049088478088379,133.41427612304688,6.445919990539551,57.88072967529297,33.84493637084961,11.71328067779541,101.66624450683594,5.327613830566406,4.734199047088623,8.36328411102295,22.917667388916016,4.102581977844238,1.06674325466156,19.105791091918945,25.619274139404297,358.70263671875,170.9013214111328,4.115424156188965,253.02781677246094,70.5475082397461,700.6934204101562,81.1646499633789,1.2683113813400269,66.31770324707031,120.24439239501953,31.38773536682129,92.37138366699219,94.9425048828125,21.008214950561523,5.343567848205566,100.47278594970703,66.99977111816406
2020-10-02,42.29050064086914,20.742212295532227,259.7370300292969,101.98153686523438,59.28466033935547,122.01583099365234,227.60000610351562,303.4548034667969,36.51032257080078,39.753292083740234,1.7232483625411987,44.110477447509766,45.03919219970703,21.55260467529297,10.969245910644531,132.1228790283203,6.45129919052124,59.35363006591797,34.132049560546875,11.893610000610352,103.72320556640625,5.363523006439209,4.598997116088867,8.526409149169922,24.15787696838379,4.163541316986084,1.0596894025802612,19.34662437438965,26.01718521118164,366.1120300292969,170.58570861816406,4.181403160095215,256.30914306640625,70.36369323730469,710.4015502929688,81.12621307373047,1.2516605854034424,66.90059661865234,120.24439239501953,31.562061309814453,90.65890502929688,95.5244140625,20.29594612121582,5.270751476287842,99.84658813476562,67.09175872802734
