,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2015-03-10,17359.009765625,19857.08203125,11222.7939453125,40044.875,67918.9296875,8791.0380859375,8929.208984375,42542.671875,12446.2861328125,10143.853515625,5229.23681640625,4666.55029296875,5333.79638671875,2766.072509765625,6331.40673828125,5862.95703125,5448.52294921875,26612.279296875,25215.40625,21687.892578125,24053.3359375,21105.1015625,13394.048828125,18681.7421875,95.7137680053711,15498.953125,15940.494140625,7674.40087890625,40158.63671875,13150.966796875,8650.5361328125
2015-03-11,17249.837890625,19151.4453125,11030.9658203125,40344.46484375,66217.234375,8781.0595703125,9095.8212890625,42649.453125,12397.669921875,9616.6728515625,5259.0615234375,4624.66259765625,5217.88720703125,2767.06298828125,6181.84521484375,5920.15673828125,5486.50927734375,26596.943359375,25673.599609375,21498.876953125,23935.1796875,21489.724609375,13136.1025390625,18448.162109375,94.79257202148438,15335.0234375,15817.8583984375,7755.9375,39605.19921875,12818.0947265625,8725.2373046875
2015-03-12,17468.1875,19415.57421875,11076.9228515625,40594.125,66359.4609375,8791.0380859375,8957.14453125,43909.87109375,12640.759765625,9715.3935546875,5472.80322265625,4707.44091796875,5246.86376953125,2757.16259765625,6281.55322265625,5939.6044921875,5504.97607421875,26612.279296875,25909.662109375,21788.37890625,24475.32421875,21680.90625,12945.9873046875,18728.740234375,99.25439453125,15307.2041015625,15553.64453125,7842.44580078125,39981.13671875,12957.205078125,8575.8349609375
2015-03-13,17269.6875,18856.134765625,10489.4580078125,38796.59375,66298.796875,8672.658203125,8794.5234375,44907.81640625,12645.6201171875,9674.919921875,5416.13818359375,4557.84033203125,5111.970703125,2766.072509765625,6157.916015625,5908.14404296875,5497.58984375,26849.923828125,25016.197265625,21439.181640625,24046.388671875,21746.2265625,12820.8369140625,18810.802734375,99.67183685302734,15255.54296875,15320.33984375,7835.48583984375,39289.09375,12892.615234375,8445.3544921875
2015-03-16,17760.978515625,18134.89453125,10590.369140625,38673.76171875,66030.03125,8784.8369140625,8884.3154296875,47103.3046875,12335.5068359375,9640.365234375,5469.82177734375,4546.86962890625,5057.01416015625,2779.93359375,6135.9794921875,6119.78271484375,5687.52587890625,27362.462890625,25300.07421875,21716.7421875,24588.515625,21856.771484375,12564.0068359375,18850.78515625,100.3482894897461,15538.6953125,15386.580078125,7805.65625,38284.93359375,12812.12890625,8459.30078125
2015-03-17,17896.947265625,18348.423828125,10973.0185546875,39343.84765625,65305.79296875,8777.287109375,9053.9189453125,47103.3046875,12274.578125,9615.6845703125,5428.0673828125,4827.12109375,5141.94775390625,2806.662841796875,6232.69580078125,6073.451171875,5645.31689453125,26806.119140625,25300.07421875,21807.27734375,24475.32421875,21605.537109375,12754.125,18798.888671875,98.77949523925781,15787.076171875,16170.3173828125,7830.513671875,38591.05859375,12918.4521484375,8639.5791015625
2015-03-18,17974.3671875,18208.0234375,10954.0341796875,39466.671875,66184.2578125,8724.701171875,8960.1376953125,46728.08203125,12300.5478515625,9512.0244140625,5417.1298828125,4911.8955078125,5065.00830078125,2826.462646484375,6142.96044921875,6090.611328125,5647.42822265625,26773.267578125,25562.0390625,22034.10546875,24773.19921875,21580.41796875,12577.3837890625,18974.24609375,99.64305877685547,16000.68359375,16153.365234375,7830.513671875,39051.765625,12860.8193359375,8488.1845703125
2015-03-19,18285.0234375,18573.642578125,11639.4140625,39009.296875,65838.03125,8843.8896484375,8919.232421875,46903.71875,12784.978515625,10148.791015625,5333.62255859375,5240.0205078125,5181.91650390625,2781.912841796875,6241.669921875,6140.3759765625,5709.6845703125,26590.373046875,25250.26953125,21986.35546875,24475.32421875,22726.013671875,12849.6611328125,18998.796875,97.19624328613281,16045.3935546875,15570.048828125,7855.373046875,40702.1015625,12967.1396484375,8604.720703125
2015-03-20,17865.19140625,18981.1953125,11979.1044921875,38447.07421875,65139.66015625,8639.4892578125,8910.25390625,46803.93359375,12435.3896484375,10849.7294921875,5364.44189453125,5271.9345703125,5245.865234375,2821.513427734375,6270.5849609375,6061.4384765625,5617.3544921875,26228.9765625,24725.341796875,22375.349609375,24008.65234375,22261.115234375,13040.734375,18474.814453125,98.39083099365234,16006.6435546875,15583.0126953125,7780.796875,42380.3671875,13004.8984375,8369.6572265625
2015-03-23,17772.890625,19224.94140625,11959.1220703125,37325.62109375,65488.8515625,8734.6787109375,8674.7998046875,46504.55078125,12025.8701171875,10904.02734375,5334.5419921875,5294.87353515625,5395.74658203125,2723.319091796875,6231.69873046875,6005.38330078125,5564.59423828125,25880.71484375,24832.916015625,21247.76953125,24515.04296875,22484.83984375,13088.5009765625,18454.470703125,97.75640106201172,16363.3203125,15476.3193359375,7870.2890625,41682.3359375,12896.58984375,8491.1708984375
2015-03-24,18515.28515625,19023.1171875,11859.212890625,37536.328125,64888.9609375,8709.87109375,8914.244140625,49847.67578125,12091.79296875,10652.283203125,5463.80419921875,5292.87841796875,5383.7568359375,2802.54345703125,6109.0595703125,6052.2861328125,5599.416015625,25936.560546875,25032.130859375,20989.01171875,25226.955078125,22818.337890625,13375.1142578125,18798.888671875,100.66581726074219,16880.943359375,15751.52734375,7995.576171875,41622.50390625,13375.53125,8532.0078125
2015-03-25,18217.533203125,18925.619140625,11805.2626953125,38141.5,63781.69140625,8757.0576171875,8801.505859375,48899.625,12077.80859375,10542.6982421875,5455.85009765625,5285.896484375,5315.80859375,2764.912109375,5920.61279296875,5902.42529296875,5487.03662109375,25854.4296875,25364.818359375,20600.87890625,24991.63671875,22233.609375,13267.1552734375,18638.255859375,99.64755249023438,16740.859375,15848.248046875,7915.0341796875,41452.984375,13295.0458984375,8507.1044921875
2015-03-26,18202.6484375,18648.724609375,12286.82421875,37124.8984375,63073.36328125,8548.078125,8649.8583984375,49498.39453125,12085.798828125,10652.283203125,5416.076171875,5450.458984375,5232.87353515625,2762.930908203125,6005.36328125,5789.74072265625,5365.68994140625,25283.85546875,24353.80859375,20224.693359375,24475.32421875,21746.85546875,13327.3447265625,18234.212890625,98.70198822021484,16565.00390625,15525.177734375,7681.3623046875,41636.4609375,13016.8212890625,8232.2041015625
2015-03-27,18162.943359375,18093.955078125,11828.2421875,37768.00390625,63072.37109375,8607.130859375,8979.0947265625,49398.60546875,12265.5859375,10358.0849609375,5424.03076171875,5245.00830078125,5091.986328125,2772.833984375,5994.396484375,5765.71826171875,5355.13916015625,25570.783203125,25096.876953125,20202.80078125,23737.103515625,22278.330078125,13260.466796875,18490.244140625,100.15673065185547,16591.830078125,15713.634765625,7701.24755859375,41383.171875,13051.6005859375,8421.451171875
2015-03-30,18401.150390625,18597.044921875,11600.447265625,38108.5390625,64141.83203125,8772.701171875,9210.552734375,50017.33203125,12379.4541015625,10059.939453125,5560.2529296875,5246.00439453125,5249.86083984375,2790.659423828125,5783.0166015625,5849.80029296875,5424.78125,25428.41796875,25847.908203125,20600.87890625,23667.580078125,22637.5859375,13279.576171875,18588.44921875,102.7751693725586,16740.859375,16286.98046875,7756.93212890625,41733.19921875,13100.2900390625,8605.716796875
2015-03-31,18361.447265625,17915.525390625,11658.39453125,38347.21484375,62575.93359375,8863.037109375,9122.755859375,52393.44921875,12465.35546875,9921.724609375,5552.298828125,5118.3447265625,5154.9365234375,2839.1845703125,5865.7734375,5749.1298828125,5358.3046875,25517.125,25898.703125,20401.841796875,23614.9453125,23489.744140625,13236.583984375,18644.56640625,101.65508270263672,16691.181640625,16379.708984375,7792.72900390625,41100.9765625,13184.7509765625,8580.8154296875
2015-04-01,18850.75390625,17677.626953125,11345.6806640625,38289.296875,62537.13671875,8869.7763671875,9078.8583984375,53390.41015625,12834.919921875,9576.193359375,5566.2197265625,4966.7490234375,5058.01318359375,2838.193115234375,5982.43115234375,5743.98046875,5315.0400390625,25298.0859375,26449.533203125,21596.09375,23909.90625,23615.357421875,13278.62109375,18570.91015625,103.1388168334961,16656.408203125,16451.509765625,7844.435546875,40717.0546875,13256.2919921875,8761.0947265625
