"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2015","46,149.59","46,252.64","46,564.75","46,149.59","108.18M","-0.22%"
"06/12/2015","46,129.91","46,149.59","46,523.99","46,053.13","87.80M","-0.04%"
"06/15/2015","45,608.63","46,129.91","46,210.09","45,578.30","74.30M","-1.13%"
"06/17/2015","45,914.43","45,608.63","46,176.31","45,608.63","134.57M","0.67%"
"06/18/2015","46,213.88","45,914.43","46,240.57","45,597.51","376.34M","0.65%"
"06/19/2015","46,170.57","46,213.88","46,528.70","46,087.87","170.99M","-0.09%"
"06/22/2015","46,593.00","46,170.57","46,698.94","46,163.97","91.10M","0.91%"
"06/23/2015","47,002.30","46,593.00","47,050.17","46,593.00","98.79M","0.88%"
"06/24/2015","47,231.90","47,002.30","47,388.87","46,972.69","94.34M","0.49%"
"06/25/2015","47,259.66","47,231.90","47,517.47","46,898.29","121.39M","0.06%"
"06/26/2015","47,054.51","47,259.66","47,259.66","46,823.37","84.60M","-0.43%"
"06/29/2015","46,395.06","47,054.51","47,054.51","45,926.83","91.04M","-1.40%"
"06/30/2015","46,141.59","46,395.06","46,422.02","45,941.08","114.09M","-0.55%"
"07/01/2015","46,313.36","46,141.59","46,533.62","46,073.21","91.66M","0.37%"
"07/02/2015","46,627.77","46,313.36","46,766.89","46,257.57","93.40M","0.68%"
"07/03/2015","46,355.60","46,627.77","46,634.58","46,227.85","50.45M","-0.58%"
"07/06/2015","45,732.42","46,355.60","46,355.60","45,422.54","71.20M","-1.34%"
"07/07/2015","44,377.00","45,732.42","45,741.20","44,338.35","124.60M","-2.96%"
"07/08/2015","44,678.82","44,377.00","44,678.82","43,944.36","134.73M","0.68%"
"07/09/2015","45,872.43","44,678.82","45,872.43","44,678.82","109.78M","2.67%"
"07/10/2015","46,216.22","45,872.43","46,442.89","45,872.43","122.87M","0.75%"
"07/13/2015","46,907.90","46,216.22","46,918.76","46,216.22","95.62M","1.50%"
"07/14/2015","46,571.30","46,907.90","47,029.18","46,489.69","79.31M","-0.72%"
"07/15/2015","46,942.19","46,571.30","47,034.90","46,571.30","124.49M","0.80%"
"07/16/2015","47,228.09","46,942.19","47,255.86","46,907.32","134.02M","0.61%"
"07/17/2015","47,052.58","47,228.09","47,477.49","47,052.58","80.42M","-0.37%"
"07/20/2015","47,388.67","47,052.58","47,450.83","47,022.39","82.79M","0.71%"
"07/21/2015","47,256.32","47,388.67","47,616.33","47,183.90","99.49M","-0.28%"
"07/22/2015","46,370.97","47,256.32","47,256.32","46,157.53","126.34M","-1.87%"
"07/23/2015","46,649.23","46,370.97","46,891.79","46,370.75","110.63M","0.60%"
"07/24/2015","45,858.45","46,649.23","46,722.14","45,858.45","190.67M","-1.70%"
"07/27/2015","45,768.94","45,858.45","46,063.91","45,503.78","89.39M","-0.20%"
"07/28/2015","45,290.17","45,768.94","45,990.94","45,145.84","127.73M","-1.05%"
"07/29/2015","46,108.87","45,290.17","46,138.92","45,290.17","119.53M","1.81%"
"07/30/2015","46,302.48","46,108.87","46,513.23","46,101.12","117.34M","0.42%"
"07/31/2015","46,557.26","46,302.48","46,644.27","46,158.08","122.43M","0.55%"
"08/03/2015","46,120.82","46,557.26","46,561.48","46,002.29","75.24M","-0.94%"
"08/04/2015","46,917.54","46,120.82","46,947.23","45,984.95","110.68M","1.73%"
"08/05/2015","47,259.06","46,917.54","47,427.48","46,915.39","103.22M","0.73%"
"08/06/2015","46,930.67","47,259.06","47,259.06","46,723.27","103.39M","-0.69%"
"08/07/2015","46,431.99","46,930.67","47,063.14","46,425.91","75.74M","-1.06%"
"08/11/2015","46,622.58","46,431.99","47,200.36","46,431.99","103.78M","0.41%"
"08/12/2015","44,980.35","46,622.58","46,622.58","44,980.35","122.95M","-3.52%"
"08/13/2015","45,877.71","44,980.35","46,012.56","44,980.35","97.19M","2.00%"
"08/14/2015","45,341.19","45,877.71","46,043.73","45,248.52","72.98M","-1.17%"
"08/17/2015","45,287.52","45,341.19","45,689.56","45,074.83","89.84M","-0.12%"
"08/18/2015","45,467.35","45,287.52","45,467.35","44,940.66","111.26M","0.40%"
"08/19/2015","44,686.47","45,467.35","45,467.35","44,593.46","101.36M","-1.72%"
"08/20/2015","44,149.39","44,686.47","44,686.47","43,762.51","152.28M","-1.20%"
"08/21/2015","43,404.56","44,149.39","44,149.39","43,374.70","144.21M","-1.69%"
"08/24/2015","42,149.24","43,404.56","43,404.56","41,037.50","208.83M","-2.89%"
"08/25/2015","43,439.05","42,149.24","43,753.47","42,149.24","173.45M","3.06%"
"08/26/2015","42,854.06","43,439.05","43,444.12","42,718.09","149.86M","-1.35%"
"08/27/2015","43,624.98","42,854.06","43,624.98","42,854.06","139.08M","1.80%"
"08/28/2015","44,383.74","43,624.98","44,383.74","43,623.74","99.23M","1.74%"
"08/31/2015","44,350.11","44,383.74","44,464.20","44,021.70","93.73M","-0.08%"
"09/01/2015","42,979.77","44,350.11","44,350.11","42,934.67","116.49M","-3.09%"
"09/02/2015","43,699.53","42,979.77","44,039.04","42,979.77","115.69M","1.67%"
"09/03/2015","44,838.96","43,699.53","44,838.96","43,699.53","103.26M","2.61%"
"09/04/2015","43,547.16","44,838.96","44,838.96","43,512.74","110.33M","-2.88%"
"09/07/2015","43,389.01","43,547.16","44,124.44","43,259.21","125.54M","-0.36%"
"09/08/2015","44,107.18","43,389.01","44,232.02","43,387.29","131.16M","1.66%"
"09/09/2015","44,249.39","44,107.18","44,852.86","44,107.18","146.65M","0.32%"
"09/10/2015","44,025.81","44,249.39","44,249.39","43,637.82","145.95M","-0.51%"
"09/11/2015","43,450.42","44,025.81","44,059.97","43,361.80","147.78M","-1.31%"
"09/14/2015","43,813.06","43,450.42","44,019.64","43,450.42","100.64M","0.83%"
"09/15/2015","43,985.37","43,813.06","43,985.37","43,314.91","116.96M","0.39%"
"09/16/2015","45,588.01","43,985.37","45,709.31","43,985.37","156.15M","3.64%"
"09/17/2015","46,137.53","45,588.01","46,574.13","45,588.01","265.91M","1.21%"
"09/18/2015","45,616.07","46,137.53","46,140.94","45,144.19","156.04M","-1.13%"
"09/21/2015","45,379.92","45,616.07","45,630.74","45,159.31","102.12M","-0.52%"
"09/22/2015","44,523.72","45,379.92","45,379.92","44,414.87","136.53M","-1.89%"
"09/23/2015","45,062.05","44,523.72","45,158.15","44,382.39","130.55M","1.21%"
"09/25/2015","44,963.24","45,062.05","45,280.16","44,911.61","113.14M","-0.22%"
"09/28/2015","44,242.32","44,963.24","45,205.37","44,148.53","106.03M","-1.60%"
"09/29/2015","44,159.46","44,242.32","44,510.73","43,851.11","127.82M","-0.19%"
"09/30/2015","44,881.18","44,159.46","44,960.45","44,159.46","179.43M","1.63%"
"10/01/2015","45,252.77","44,881.18","45,570.19","44,881.18","146.70M","0.83%"
"10/02/2015","45,668.35","45,252.77","45,953.29","45,252.77","92.16M","0.92%"
