Date,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2024-08-15,15564.0361328125,49891.09375,55088.66796875,22859.80078125,64713.734375,27344.068359375,35772.50390625,282528.03125,14635.072265625,17463.744140625,8258.3701171875,28915.890625,9449.798828125,1332.7529296875,8351.7177734375,13562.328125,13541.3828125,33789.3125,22453.298828125,8601.0751953125,29053.23046875,73014.4375,13848.9169921875,13917.654296875,40.9642448425293,23194.900390625,29719.97265625,8341.0048828125,13525.0,9943.4384765625,6304.2392578125
2024-08-16,15750.73828125,49311.25,55394.65625,22977.75390625,63829.8125,28330.3125,35638.55859375,283413.78125,14979.98046875,16954.509765625,8284.33984375,29227.673828125,9331.8017578125,1345.731201171875,8608.6474609375,13666.193359375,13678.2041015625,33725.35546875,22792.12109375,8859.9267578125,29452.57421875,73352.609375,14051.90234375,14002.6103515625,41.96337127685547,23386.662109375,30631.48046875,8466.869140625,13665.0,10502.0146484375,6473.1123046875
2024-08-19,16531.484375,50791.32421875,55734.64453125,23240.646484375,64094.4921875,28560.13671875,35585.58203125,287926.625,15011.9716796875,16709.876953125,8450.146484375,30079.08203125,9593.7958984375,1347.7279052734375,8842.583984375,13715.1298828125,13762.095703125,34035.13671875,23264.875,9022.833984375,29655.23828125,72996.8359375,13910.9130859375,14380.4091796875,41.96337127685547,23689.28125,30734.423828125,8505.8271484375,13753.0,10719.849609375,6560.04638671875
2024-08-20,16395.701171875,51413.4296875,57116.5859375,23738.447265625,64364.1640625,28175.4296875,35599.57421875,287927.625,14926.994140625,16483.21875,8384.224609375,31088.380859375,9557.796875,1333.7513427734375,9030.5322265625,13700.1484375,13782.0703125,33949.19921875,23344.833984375,8944.87890625,29562.390625,72405.28125,13973.908203125,13937.64453125,40.9642448425293,23571.4296875,30217.703125,8403.9375,12863.0,10791.794921875,6444.1337890625
2024-08-21,16804.046875,52545.59375,56847.59375,23374.59375,64535.953125,28178.4296875,35935.4375,288966.375,15013.9716796875,16607.03125,8435.1640625,29418.54296875,9629.794921875,1339.7410888671875,9132.5048828125,13289.990234375,13308.9736328125,33791.8828125,23487.759765625,8942.8798828125,29876.873046875,73484.3984375,13988.9072265625,13980.6201171875,41.96337127685547,23611.37890625,30446.580078125,8438.8994140625,13557.0,10871.734375,6403.1650390625
2024-08-22,16673.2578125,51844.875,55238.6640625,23443.56640625,65074.30078125,27778.736328125,36106.37109375,284827.4375,15184.92578125,16585.064453125,8339.2763671875,28370.271484375,9548.796875,1349.7244873046875,8604.6494140625,13134.142578125,13181.0986328125,34005.76171875,23206.904296875,9005.84375,28763.705078125,73867.375,13904.9130859375,13840.6943359375,42.962501525878906,23245.8359375,30468.568359375,8395.9453125,14410.0,11086.5703125,6377.18408203125
2024-08-23,17056.642578125,51960.83984375,55097.66796875,23532.53125,64596.8828125,28548.146484375,36753.109375,288726.4375,15317.890625,16766.791015625,8500.087890625,26145.81640625,9634.7939453125,1365.697509765625,8845.5830078125,13476.8076171875,13411.8720703125,34233.6328125,23802.595703125,9587.5107421875,29108.13671875,73994.359375,14148.89453125,14231.48828125,42.962501525878906,23731.2265625,30752.4140625,8557.771484375,14788.0,11359.36328125,6527.07080078125
2024-08-26,17345.181640625,52624.22265625,55442.6484375,22963.759765625,64631.8359375,28666.0546875,36418.24609375,292425.5,15148.935546875,16475.23046875,8542.0390625,25160.50390625,9600.7958984375,1378.675537109375,8827.5888671875,13579.7060546875,13608.6796875,33980.7734375,24101.439453125,9628.4873046875,29383.6875,72463.6796875,14257.8857421875,14335.43359375,42.962501525878906,24027.85546875,30727.4296875,8552.77734375,14794.0,11474.2763671875,6554.05029296875
2024-08-27,17566.826171875,52932.8203125,54178.70703125,23195.666015625,65291.04296875,29016.7890625,36536.1953125,295774.625,15213.91796875,16225.60546875,8609.9599609375,25517.25390625,9700.7939453125,1402.6351318359375,8937.55859375,13693.595703125,13688.6015625,34415.52734375,24370.30078125,9594.5068359375,29451.57421875,72877.2421875,14323.880859375,14376.412109375,42.962501525878906,24188.65625,31077.240234375,8515.81640625,14510.0,11432.3076171875,6561.04541015625
2024-08-28,17687.630859375,51989.34375,52236.99609375,23582.509765625,65750.4921875,29341.5390625,36295.29296875,291463.75,15374.8740234375,16075.830078125,8619.9482421875,25155.505859375,9405.8623046875,1404.6318359375,8447.6923828125,13786.50390625,13762.5283203125,34494.484375,24269.3515625,9367.6357421875,29555.40234375,71930.125,14351.87890625,14636.275390625,40.0,24148.705078125,30783.396484375,8620.7041015625,14265.0,11121.5439453125,6565.04248046875
